game,id,cardCode,name,displayName,image,rarity,cardType,set,subtypes,priceUsd,tcgPlayerUrl,stock,tcgplayerProductId,tcgplayerGroupId,tcgplayerCategoryId,modifiedOn
one-piece,one-piece-op05-077,OP05-077,Gamma Knife,Gamma Knife (OP05-077) - Awakening of the New Era,https://product-images.tcgplayer.com/fit-in/437x437/528637.jpg,Common,Event,OP05,Heart Pirates|Purple,0.21,https://www.tcgplayer.com/product/528637/gamma-knife,0,528637,23213,68,2023-12-08T00:00:00Z
one-piece,one-piece-op12-071,OP12-071,Charlotte Pudding,Charlotte Pudding (OP12-071) - Legacy of the Master,https://product-images.tcgplayer.com/fit-in/437x437/643811.jpg,Rare,Character,OP12,Big Mom Pirates|Purple,1.972,https://www.tcgplayer.com/product/643811/charlotte-pudding,0,643811,24302,68,2025-08-22T00:00:00Z
one-piece,one-piece-p-029,P-029,Bartolomeo,Bartolomeo (P-029) - Starter Deck 16: GREEN Uta,https://product-images.tcgplayer.com/fit-in/437x437/580991.jpg,Promo,Character,ST-16,FILM|Supernovas|Barto Club|Green,0.26,https://www.tcgplayer.com/product/580991/bartolomeo,0,580991,23491,68,2024-10-25T00:00:00Z
one-piece,one-piece-op13-016,OP13-016,Monkey.D.Garp,Monkey.D.Garp (OP13-016) - Carrying On His Will,https://product-images.tcgplayer.com/fit-in/437x437/657270.jpg,Rare,Character,OP13,Navy|Red,0.36,https://www.tcgplayer.com/product/657270/monkeydgarp,0,657270,24303,68,2025-11-07T00:00:00Z
one-piece,one-piece-op15-020,OP15-020,Fire Fist,Fire Fist (OP15-020) - Adventure on Kami's Island,https://product-images.tcgplayer.com/fit-in/437x437/685360.jpg,Rare,Event,OP15-EB04,Revolutionary Army|Dressrosa|Red,0.61,https://www.tcgplayer.com/product/685360/fire-fist,0,685360,24637,68,2026-04-03T00:00:00Z
one-piece,one-piece-op15-085,OP15-085,Tony Tony.Chopper (OP15-085),Tony Tony.Chopper (OP15-085) (OP15-085) - Adventure on Kami's Island,https://product-images.tcgplayer.com/fit-in/437x437/685437.jpg,Rare,Character,OP15-EB04,Animal|Straw Hat Crew|Black,0.78,https://www.tcgplayer.com/product/685437/tony-tonychopper-op15-085,0,685437,24637,68,2026-04-03T00:00:00Z
one-piece,one-piece-op13-114,OP13-114,S-Snake,S-Snake (OP13-114) - Carrying On His Will,https://product-images.tcgplayer.com/fit-in/437x437/657395.jpg,Rare,Character,OP13,Egghead|Seraphim|Yellow,0.18,https://www.tcgplayer.com/product/657395/s-snake,0,657395,24303,68,2025-11-07T00:00:00Z
one-piece,one-piece-op15-008,OP15-008,Krieg (OP15-008),Krieg (OP15-008) (OP15-008) - Adventure on Kami's Island,https://product-images.tcgplayer.com/fit-in/437x437/685347.jpg,Super Rare,Character,OP15-EB04,Krieg Pirates|East Blue|Red,0.79,https://www.tcgplayer.com/product/685347/krieg-op15-008,0,685347,24637,68,2026-04-03T00:00:00Z
one-piece,one-piece-op12-063,OP12-063,Vinsmoke Reiju,Vinsmoke Reiju (OP12-063) - Legacy of the Master,https://product-images.tcgplayer.com/fit-in/437x437/643801.jpg,Super Rare,Character,OP12,The Vinsmoke Family|GERMA 66|Purple,4.4428,https://www.tcgplayer.com/product/643801/vinsmoke-reiju,0,643801,24302,68,2025-08-22T00:00:00Z
one-piece,one-piece-op15-023,OP15-023,Arlong,Arlong (OP15-023) - Adventure on Kami's Island,https://product-images.tcgplayer.com/fit-in/437x437/685364.jpg,Rare,Character,OP15-EB04,Fish-Man|Arlong Pirates|East Blue|Green,0.26,https://www.tcgplayer.com/product/685364/arlong,0,685364,24637,68,2026-04-03T00:00:00Z
