game,id,cardCode,name,displayName,image,rarity,cardType,set,subtypes,priceUsd,tcgPlayerUrl,stock,tcgplayerProductId,tcgplayerGroupId,tcgplayerCategoryId,modifiedOn
one-piece,one-piece-p-101,P-101,Tony Tony.Chopper (Store Tournament 2025 Vol. 4),Tony Tony.Chopper (Store Tournament 2025 Vol. 4) (P-101) - One Piece Promotion Cards,https://product-images.tcgplayer.com/fit-in/437x437/668173.jpg,Promo,Character,OP-PR,Animal|Straw Hat Crew|Red,0.71,https://www.tcgplayer.com/product/668173/tony-tonychopper-store-tournament-2025-vol-4,1,668173,17675,68,2022-09-30T00:00:00Z
one-piece,one-piece-op15-eb04,OP15-EB04,Adventure on Kami's Island Booster Box,Adventure on Kami's Island Booster Box - Adventure on Kami's Island,https://product-images.tcgplayer.com/fit-in/437x437/682057.jpg,None,Card,OP15-EB04,,210.57,https://www.tcgplayer.com/product/682057/adventure-on-kamis-island-booster-box,1,682057,24637,68,2026-04-03T00:00:00Z
one-piece,one-piece-op13-028,OP13-028,Shanks (028),Shanks (028) (OP13-028) - Carrying On His Will,https://product-images.tcgplayer.com/fit-in/437x437/657285.jpg,Super Rare,Character,OP13,FILM|The Four Emperors|Red-Haired Pirates|Green,0.66,https://www.tcgplayer.com/product/657285/shanks-028,1,657285,24303,68,2025-11-07T00:00:00Z
one-piece,one-piece-op14,OP14,DON!! Card (Dracule Mihawk),DON!! Card (Dracule Mihawk) - The Azure Sea's Seven,https://product-images.tcgplayer.com/fit-in/437x437/672185.jpg,DON!!,DON!!,OP14,,0.39,https://www.tcgplayer.com/product/672185/don-card-dracule-mihawk,1,672185,24537,68,2026-01-16T00:00:00Z
one-piece,one-piece-op13-089,OP13-089,St. Topman Warcury,St. Topman Warcury (OP13-089) - Carrying On His Will,https://product-images.tcgplayer.com/fit-in/437x437/657362.jpg,Rare,Character,OP13,Celestial Dragons|Five Elders|Black,0.6,https://www.tcgplayer.com/product/657362/st-topman-warcury,1,657362,24303,68,2025-11-07T00:00:00Z
one-piece,one-piece-op12-087,OP12-087,Nico Robin,Nico Robin (OP12-087) - Legacy of the Master,https://product-images.tcgplayer.com/fit-in/437x437/643830.jpg,Super Rare,Character,OP12,Straw Hat Crew|Black,1.75,https://www.tcgplayer.com/product/643830/nico-robin,1,643830,24302,68,2025-08-22T00:00:00Z
one-piece,one-piece-op04-015,OP04-015,Roronoa Zoro,Roronoa Zoro (OP04-015) - Kingdoms of Intrigue,https://product-images.tcgplayer.com/fit-in/437x437/516741.jpg,Rare,Character,OP04,Alabasta|Straw Hat Crew|Red,0.25,https://www.tcgplayer.com/product/516741/roronoa-zoro,1,516741,23024,68,2023-09-22T00:00:00Z
one-piece,one-piece-op15-021,OP15-021,"Just Watch Me, Ace!!!","Just Watch Me, Ace!!! (OP15-021) - Adventure on Kami's Island",https://product-images.tcgplayer.com/fit-in/437x437/685361.jpg,Uncommon,Event,OP15-EB04,Revolutionary Army|Dressrosa|Red,0.12,https://www.tcgplayer.com/product/685361/just-watch-me-ace,1,685361,24637,68,2026-04-03T00:00:00Z
one-piece,one-piece-eb04-052,EB04-052,Sanji (EB04-052),Sanji (EB04-052) (EB04-052) - Adventure on Kami's Island,https://product-images.tcgplayer.com/fit-in/437x437/685322.jpg,Rare,Character,OP15-EB04,Straw Hat Crew|Egghead|Yellow,0.22,https://www.tcgplayer.com/product/685322/sanji-eb04-052,1,685322,24637,68,2026-04-03T00:00:00Z
one-piece,one-piece-eb02-020,EB02-020,We Are!,We Are! (EB02-020) - Extra Booster: Anime 25th Collection,https://product-images.tcgplayer.com/fit-in/437x437/629114.jpg,Rare,Event,EB-02,Music|Green,2.23,https://www.tcgplayer.com/product/629114/we-are,1,629114,23834,68,2025-05-09T00:00:00Z
one-piece,one-piece-op14-013,OP14-013,Monkey.D.Luffy - OP14-013,Monkey.D.Luffy - OP14-013 (OP14-013) - The Azure Sea's Seven,https://product-images.tcgplayer.com/fit-in/437x437/666520.jpg,Super Rare,Character,OP14,Straw Hat Crew|Supernovas|Red,0.62,https://www.tcgplayer.com/product/666520/monkeydluffy-op14-013,1,666520,24537,68,2026-01-16T00:00:00Z
one-piece,one-piece-prb02-008,PRB02-008,Marco,Marco (PRB02-008) - Premium Booster -The Best- Vol. 2,https://product-images.tcgplayer.com/fit-in/437x437/653589.jpg,Super Rare,Character,PRB-02,Former Whitebeard Pirates|Land of Wano|Blue,9.51,https://www.tcgplayer.com/product/653589/marco,1,653589,24305,68,2025-10-03T00:00:00Z
one-piece,one-piece-op12-008,OP12-008,Shanks (008),Shanks (008) (OP12-008) - Legacy of the Master,https://product-images.tcgplayer.com/fit-in/437x437/643732.jpg,Rare,Character,OP12,The Four Emperors|Red-Haired Pirates|Red,0.27,https://www.tcgplayer.com/product/643732/shanks-008,1,643732,24302,68,2025-08-22T00:00:00Z
one-piece,one-piece-st10-006,ST10-006,Monkey.D.Luffy (Treasure Booster Set),Monkey.D.Luffy (Treasure Booster Set) (ST10-006) - One Piece Promotion Cards,https://product-images.tcgplayer.com/fit-in/437x437/565288.jpg,Super Rare,Character,OP-PR,Straw Hat Crew|Red,9.93,https://www.tcgplayer.com/product/565288/monkeydluffy-treasure-booster-set,1,565288,17675,68,2022-09-30T00:00:00Z
one-piece,one-piece-op14,OP14,DON!! Card (Egghead),DON!! Card (Egghead) - The Azure Sea's Seven,https://product-images.tcgplayer.com/fit-in/437x437/672188.jpg,DON!!,DON!!,OP14,,0.44,https://www.tcgplayer.com/product/672188/don-card-egghead,1,672188,24537,68,2026-01-16T00:00:00Z
one-piece,one-piece-op12-119,OP12-119,Bartholomew Kuma,Bartholomew Kuma (OP12-119) - Legacy of the Master,https://product-images.tcgplayer.com/fit-in/437x437/643868.jpg,Secret Rare,Character,OP12,Revolutionary Army|The Seven Warlords of the Sea|Yellow,18.22,https://www.tcgplayer.com/product/643868/bartholomew-kuma,1,643868,24302,68,2025-08-22T00:00:00Z
one-piece,one-piece-eb-03,EB-03,Extra Booster: One Piece Heroines Edition Pack,Extra Booster: One Piece Heroines Edition Pack - Extra Booster: One Piece Heroines Edition,https://product-images.tcgplayer.com/fit-in/437x437/666727.jpg,None,Card,EB-03,,12.56,https://www.tcgplayer.com/product/666727/extra-booster-one-piece-heroines-edition-pack,1,666727,24545,68,2026-02-20T00:00:00Z
one-piece,one-piece-op10-111,OP10-111,Monkey.D.Luffy (111),Monkey.D.Luffy (111) (OP10-111) - Royal Blood,https://product-images.tcgplayer.com/fit-in/437x437/617160.jpg,Rare,Character,OP10,Straw Hat Crew|Supernovas|Yellow,0.36,https://www.tcgplayer.com/product/617160/monkeydluffy-111,1,617160,23766,68,2025-03-21T00:00:00Z
one-piece,one-piece-st-01,ST-01,DON!! Card // Green Compass,DON!! Card // Green Compass - Starter Deck 1: Straw Hat Crew,https://product-images.tcgplayer.com/fit-in/437x437/549343.jpg,DON!!,DON!!,ST-01,,0.1,https://www.tcgplayer.com/product/549343/don-card-green-compass,1,549343,3189,68,2022-12-02T00:00:00Z
